;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM
25/12/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35,87;38,84;36,15;35,845;34,735;34,88;35,255;35,32;35,51;35,5;36,125;37,01;36,785;36,805;34,82;15,26;12,76;12,52;12,425;12,79;13,1;13,815;14,115;14,245;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
26/12/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35,87;38,84;36,15;35,845;34,735;34,88;35,255;35,32;35,51;35,5;36,125;37,01;36,785;36,805;34,82;15,26;12,76;12,52;12,425;12,79;13,1;13,815;14,115;14,245;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
27/12/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35,87;40,98;31,08;30,42;29,455;29,495;29,845;29,915;30,08;29,985;30,87;31,625;31,535;31,55;29,85;14,74;12,325;12,09;12,965;13,345;13,67;14,415;14,73;14,865;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
28/12/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35,87;39,915;31,08;30,42;29,455;29,495;29,845;29,915;30,08;29,985;30,99;31,745;31,535;31,55;29,85;14,74;12,325;12,09;12,965;13,345;13,67;14,415;14,73;14,865;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
29/12/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35,87;34,03;31,155;29,03;28,695;29,175;29,285;29,335;29,555;29,72;30,505;31,245;31,12;31,135;29,46;15,26;12,76;12,515;11,875;12,225;12,52;13,205;13,495;13,615;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
30/12/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35,87;34,21;27,355;25,66;25,48;25,48;25,54;25,58;25,8;25,975;26,775;27,425;27,49;27,505;26,025;14,79;12,37;12,13;11,815;12,165;12,455;13,14;13,425;13,545;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
31/12/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35,87;30,495;22,355;20,4;20,58;20,685;20,86;20,895;21,11;21,18;21,845;22,375;22,49;22,5;21,29;13,695;11,455;11,235;10,595;10,905;11,165;11,78;12,035;12,145;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
01/01/2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35,87;30,495;22,355;20,4;20,58;20,685;20,86;20,895;21,11;21,18;21,845;22,375;22,49;22,5;21,29;13,695;11,455;11,235;10,595;10,905;11,165;11,78;12,035;12,145;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
02/01/2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30,495;22,355;20,4;20,58;20,685;20,86;20,895;21,11;21,18;21,845;22,375;22,49;22,5;21,29;13,695;11,455;11,235;10,595;10,905;11,165;11,78;12,035;12,145;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
03/01/2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30,505;22,355;20,4;20,58;20,685;20,86;20,895;21,11;21,18;21,85;22,38;22,49;22,5;21,29;13,695;11,455;11,235;10,595;10,905;11,165;11,78;12,035;12,145;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
04/01/2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32,745;28,295;26,315;26,25;26,42;26,7;26,72;26,81;27,04;27,675;28,35;28,33;28,345;26,82;15,16;12,68;12,435;12,37;12,73;13,035;13,75;14,05;14,18;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
05/01/2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34,19;30,605;28,37;28,315;28,09;28,325;28,37;28,5;28,86;29,355;30,07;30,155;30,17;28,55;15,995;13,38;13,12;13,345;13,73;14,06;14,83;15,155;15,295;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
06/01/2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34,07;30,715;28,48;28,26;28,555;28,9;28,92;29,05;29,52;29,895;30,62;30,79;30,805;29,15;16,52;13,82;13,555;13,11;13,49;13,815;14,57;14,89;15,025;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
07/01/2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33,95;28,555;26,25;25,895;25,96;26,415;26,46;26,59;26,755;27,24;27,9;28,125;28,135;26,625;15,64;13,085;12,835;11,87;12,215;12,51;13,19;13,48;13,605;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
08/01/2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33,95;28,555;26,25;25,895;25,96;26,415;26,46;26,59;26,755;27,24;27,9;28,125;28,135;26,625;15,64;13,085;12,835;11,87;12,215;12,51;13,19;13,48;13,605;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
09/01/2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33,95;28,555;26,25;25,895;25,96;26,415;26,46;26,59;26,755;27,24;27,9;28,125;28,135;26,625;15,64;13,085;12,835;11,87;12,215;12,51;13,19;13,48;13,605;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
10/01/2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33,265;27,955;25,75;25,36;25,515;26,005;26,07;26,22;26,4;26,95;27,605;27,775;27,785;26,295;15,495;12,96;12,715;12,435;12,795;13,105;13,82;14,125;14,255;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
11/01/2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32,915;25,61;23,63;23,14;23,455;23,815;23,83;24;24,18;24,74;25,85;26,22;26,295;23,3;14,925;13,125;12,665;12,685;12,99;13,3;14,095;14,425;14,585;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
12/01/2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;23,13;20,585;20,185;21,045;21,335;21,405;21,57;22,605;22,55;23,19;23,575;23,65;21,115;14,61;12,86;12,47;12,325;12,625;12,935;13,715;14,07;14,24;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
13/01/2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32,605;26,315;20,18;19,745;19,935;20,52;20,57;20,845;21,23;21,965;22,715;23,08;23,255;20,445;14,76;13,055;12,7;12,695;13;13,3;14;14,405;14,595;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
14/01/2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32,845;25,255;20,43;20,195;20,61;21,045;21,095;21,46;22,07;22,855;23,535;23,72;23,75;21,48;14,525;12,85;12,54;12,57;12,865;13,085;13,8;14,345;14,535;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
15/01/2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32,845;25,255;20,43;20,195;20,61;21,045;21,095;21,46;22,07;22,855;23,535;23,72;23,75;21,48;14,525;12,85;12,54;12,57;12,865;13,085;13,8;14,345;14,535;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
16/01/2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32,845;25,255;20,43;20,195;20,61;21,045;21,095;21,46;22,07;22,855;23,535;23,72;23,75;21,48;14,525;12,85;12,54;12,57;12,865;13,085;13,8;14,345;14,535;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
17/01/2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32,845;25,255;20,43;20,195;20,61;21,045;21,095;21,46;22,07;22,855;23,535;23,72;23,75;21,48;14,525;12,85;12,54;12,57;12,865;13,085;13,8;14,345;14,535;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
18/01/2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32,845;22,935;21,305;21,01;21,24;21,58;21,48;21,685;21,725;22,635;23,285;23,345;23,335;21,31;14,38;12,855;12,625;12,285;12,575;12,79;13,385;13,91;14,105;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
19/01/2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32,845;21,14;19,6;19,3;19,87;20,01;19,965;20,14;20,5;21,345;22,015;22,065;22,06;20,15;14,265;12,8;12,56;12,05;12,365;12,575;13,345;13,87;14,065;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
20/01/2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32,845;20,525;20,13;20,025;20,57;21,19;21,19;21,335;21,7;22,62;23,115;23,205;23,195;21,675;14,445;12,94;12,715;12,37;12,69;12,895;13,355;13,905;14,11;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
21/01/2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32,845;22,09;21,71;21,605;21,81;22,845;22,865;23,03;23,4;24,215;24,96;24,835;24,82;22,99;14,6;13,06;12,83;11,08;11,36;11,545;12,255;12,745;12,93;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
22/01/2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32,845;22,09;21,71;21,605;21,81;22,845;22,865;23,03;23,4;24,215;24,96;24,835;24,82;22,99;14,6;13,06;12,83;11,08;11,36;11,545;12,255;12,745;12,93;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
23/01/2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32,845;22,09;21,71;21,605;21,81;22,845;22,865;23,03;23,4;24,215;24,96;24,835;24,82;22,99;14,6;13,06;12,83;11,08;11,36;11,545;12,255;12,745;12,93;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
24/01/2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32,845;25,19;26,53;26,275;26,71;26,98;26,92;27,09;27,46;28,24;28,89;28,76;28,745;26,785;15,055;13,51;13,28;12,715;13,02;13,225;13,905;14,445;14,645;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
25/01/2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32,845;26,005;27,56;27,13;27,46;27,52;27,48;27,66;27,915;28,505;29,05;29,26;29,25;26,945;15,48;13,81;13,58;13,16;13,465;13,66;14,23;14,74;14,94;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
26/01/2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32,845;25,825;28,59;28;28,36;28,285;28,28;28,445;28,64;29,21;29,84;30,1;29,585;27,915;15,94;14,28;14,07;13,8;14,11;14,31;14,74;15,24;15,45;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
27/01/2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32,845;25,275;28,81;28,25;28,665;28,08;28,645;28,79;29,04;29,64;30,065;30,32;30,205;28,135;16,38;14,72;14,505;14,2;14,505;14,705;15,135;15,635;15,845;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
28/01/2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32,845;26,81;29,12;28,7;29,07;28,97;28,96;29,075;29,3;29,915;30,61;30,76;30,74;28,38;17,51;15,685;15,5;15,225;15,455;15,61;16,185;16,7;16,975;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
29/01/2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32,845;26,81;29,12;28,7;29,07;28,97;28,96;29,075;29,3;29,915;30,61;30,76;30,74;28,38;17,51;15,685;15,5;15,225;15,455;15,61;16,185;16,7;16,975;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
30/01/2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32,845;26,81;29,12;28,7;29,07;28,97;28,96;29,075;29,3;29,915;30,61;30,76;30,74;28,38;17,51;15,685;15,5;15,225;15,455;15,61;16,185;16,7;16,975;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
31/01/2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32,845;24,71;27,03;26,605;26,96;26,94;26,94;27,04;27,365;27,94;28,575;28,7;28,695;26,21;17,695;15,75;15,675;15,375;15,605;15,785;16,305;16,775;17,02;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
01/02/2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32,845;23,705;24,225;23,87;24,195;24,275;24,29;24,38;24,595;25,135;25,85;25,95;25,945;23,645;16,435;14,93;14,925;14,525;14,75;14,925;15,37;15,835;16,07;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
02/02/2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24,2;25,08;24,695;25,01;25,18;25,185;25,275;25,455;25,97;26,48;26,64;26,64;24,52;16,825;15,285;15,09;14,97;15,22;15,435;15,605;16,1;16,335;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
03/02/2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24,34;27,275;26,71;26,81;26,71;26,705;26,805;26,855;27,335;27,865;28,16;28,035;25,81;16,99;15,5;15,53;15,295;15,545;15,755;15,765;16,25;16,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
04/02/2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25,35;27,965;27,6;27,725;27,67;27,615;27,705;27,78;28,29;28,82;29,075;28,95;26,73;18,05;15,965;16,15;16,21;16,475;16,69;16,715;17,215;17,45;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
05/02/2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25,35;27,965;27,6;27,725;27,67;27,615;27,705;27,78;28,29;28,82;29,075;28,95;26,73;18,05;15,965;16,15;16,21;16,475;16,69;16,715;17,215;17,45;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
06/02/2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25,35;27,965;27,6;27,725;27,67;27,615;27,705;27,78;28,29;28,82;29,075;28,95;26,73;18,05;15,965;16,15;16,21;16,475;16,69;16,715;17,215;17,45;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
07/02/2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25,1;26,915;26,64;26,71;26,71;26,665;26,75;26,86;27,38;27,885;28,06;27,935;25,735;17,935;15,825;15,895;15,775;16,035;16,245;16,32;16,815;17,045;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
08/02/2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25,305;25,895;25,8;25,875;25,89;25,845;25,96;26,11;26,69;27,19;27,37;27,27;25,03;17,52;15,45;15,555;15,585;15,845;16,06;16,125;16,645;16,89;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
09/02/2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24,715;25,45;25,22;25,27;25,43;25,395;25,505;25,615;26,305;26,775;26,86;26,76;24,565;17,715;15,62;15,725;15,37;15,625;15,84;15,9;16,415;16,655;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
10/02/2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24,795;24,97;24,87;25,05;25,31;25,275;25,375;25,37;25,975;26,74;26,895;26,695;24,355;17,31;15,905;16,025;15,63;15,885;16,1;15,985;16,51;16,755;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
11/02/2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24,57;25,86;25,78;25,93;26,18;26,11;26,255;26;26,595;27,7;27,865;27,665;25,35;17,97;16,375;16,495;16,07;16,33;16,54;16,575;17,095;17,345;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
12/02/2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24,57;25,86;25,78;25,93;26,18;26,11;26,255;26;26,595;27,7;27,865;27,665;25,35;17,97;16,375;16,495;16,07;16,33;16,54;16,575;17,095;17,345;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
13/02/2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24,57;25,86;25,78;25,93;26,18;26,11;26,255;26;26,595;27,7;27,865;27,665;25,35;17,97;16,375;16,495;16,07;16,33;16,54;16,575;17,095;17,345;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
14/02/2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24,885;26,7;26,63;26,71;26,765;26,75;26,96;27,145;27,73;28,11;28,335;28,19;26,015;18,37;16,785;16,9;16,455;16,71;16,925;16,91;17,43;17,675;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
15/02/2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24,815;22,925;23,015;23,16;23,38;23,375;23,57;23,79;24,545;24,895;25,075;24,925;22,86;17,635;16,07;16,19;15,645;15,9;16,115;16,185;16,7;16,94;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
16/02/2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24,815;23,075;23,255;23,475;23,6;23,605;23,855;24,11;24,91;25,36;25,52;25,365;23,265;17,245;15,715;15,83;15,225;15,475;15,685;15,75;16,255;16,485;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
17/02/2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24,815;24,51;24,87;25,13;25,23;25,25;25,455;25,775;26,57;27,005;27,18;27,06;24,86;17,09;15,795;15,965;15,31;15,59;15,805;16,11;16,695;16,67;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
18/02/2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24,815;23,805;24,31;24,575;24,655;24,625;24,815;25,12;25,915;26,345;26,575;26,45;24,27;17,055;15,84;15,775;15,355;15,635;15,85;16,09;16,565;16,685;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
19/02/2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24,815;23,805;24,31;24,575;24,655;24,625;24,815;25,12;25,915;26,345;26,575;26,45;24,27;17,055;15,84;15,775;15,355;15,635;15,85;16,09;16,565;16,685;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
20/02/2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24,815;23,805;24,31;24,575;24,655;24,625;24,815;25,12;25,915;26,345;26,575;26,45;24,27;17,055;15,84;15,775;15,355;15,635;15,85;16,09;16,565;16,685;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
21/02/2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24,815;23,805;24,31;24,575;24,655;24,625;24,815;25,12;25,915;26,345;26,575;26,45;24,27;17,055;15,84;15,775;15,355;15,635;15,85;16,09;16,565;16,685;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
22/02/2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24,815;25,96;26,465;26,61;26,765;26,76;26,99;27,255;28,1;28,55;28,665;28,54;26,365;18,74;17,55;17,49;17,185;17,465;17,67;17,98;18,46;18,585;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
23/02/2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24,815;28,965;29,6;29,685;29,815;29,865;30,065;30,355;31,235;31,685;31,79;31,665;29,245;20,6;19,34;19,26;18,995;19,28;19,455;19,715;20,19;20,305;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
24/02/2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24,815;37,01;39,26;39,32;39,35;38,635;38,745;38,93;39,52;39,895;39,78;39,665;36,845;22,05;20,355;20,23;20,61;20,91;21,085;21,375;21,855;21,97;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
25/02/2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24,815;27,51;29,44;29,485;29,675;29,72;29,915;29,975;30,645;31,01;30,975;30,85;28,01;19,52;17,705;17,94;17,335;17,585;17,735;18,035;18,49;18,605;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
26/02/2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24,815;27,51;29,44;29,485;29,675;29,72;29,915;29,975;30,645;31,01;30,975;30,85;28,01;19,52;17,705;17,94;17,335;17,585;17,735;18,035;18,49;18,605;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
27/02/2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24,815;27,51;29,44;29,485;29,675;29,72;29,915;29,975;30,645;31,01;30,975;30,85;28,01;19,52;17,705;17,94;17,335;17,585;17,735;18,035;18,49;18,605;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
28/02/2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24,815;27,95;31,44;31,545;31,625;31,485;31,585;31,3;31,89;32,225;31,855;31,735;29,04;19,52;17,585;17,695;17,355;17,61;17,755;17,89;18,34;18,44;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
01/03/2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24,815;31,5;38,765;39,02;39,195;39,095;39,17;38,715;39,46;38,89;38,415;37,965;33,835;20,915;18,98;19,08;18,585;18,835;18,98;19;19,45;19,545;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
02/03/2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38,505;51,72;50,92;51,58;52,065;52,065;50,68;51,09;50,82;49,11;48,225;39,84;23,145;20,46;20,57;20,135;20,395;20,54;20,385;20,82;20,92;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
03/03/2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43,6;45,47;44,685;44,665;43,825;43,475;42,615;42,905;41,925;40,255;38,21;30,99;22,305;19,935;20,33;19,775;20,05;19,6;19,88;20,23;20,265;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
04/03/2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38,65;55,58;54,715;54,405;52,97;52,335;45,8;44,135;39,49;32,89;31,22;25,32;23,86;21,325;21,745;20,425;20,71;20,245;20,535;20,895;20,935;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
